L M s l' alpha Re(C) Im(C) Im(A)
1 1 2 3 0.364 -0.000360464083436623 0.000142922265580663 0.413608106160470
1 -1 3 2 0.364 2.21644895748080e-5 -0.000294271404197825 0.413608106160470
1 0 3 2 0.364 -0.000154647221960748 -1.645e-20 0.413608106160470
1 1 3 2 0.364 -2.21644895748080e-5 -0.000294271404197825 0.413608106160470
1 -1 3 4 0.364 8.53310902092213e-5 -0.000231104803563412 0.413608106160470
1 0 3 4 0.364 0.000336906215100902 0 0.413608106160470
1 1 3 4 0.364 -8.53310902092213e-5 -0.000231104803563412 0.413608106160470
1 -1 0 1 33.87 0 0 153.386946769113
1 0 0 1 33.87 0 0 153.386946769113
1 1 0 1 33.87 0 0 153.386946769113
1 -1 0 1 5.095 8.46850465526451e-13 5.98294254083472e-14 23.0737081130390
1 0 0 1 5.095 0 1.49305247589517e-12 23.0737081130390
1 1 0 1 5.095 8.46850465526451e-13 -5.98294254083472e-14 23.0737081130390
1 -1 0 1 1.159 0.000725979949383289 5.12900033686366e-5 5.24875911737237
1 0 0 1 1.159 0 0.00127994989080290 5.24875911737237
1 1 0 1 1.159 0.000725979949383289 -5.12900033686366e-5 5.24875911737237
1 -1 0 1 0.3258 0.0344738520184549 0.00243555484921927 1.47544928424497
1 0 0 1 0.3258 0 0.0607796443470102 1.47544928424497
1 1 0 1 0.3258 0.0344738520184549 -0.00243555484921927 1.47544928424497
1 -1 0 1 0.1027 0.0245712660721570 0.00173594370021262 0.465097119373721
1 0 0 1 0.1027 0 0.0433207409552601 0.465097119373721
1 1 0 1 0.1027 0.0245712660721570 -0.00173594370021262 0.465097119373721
1 -1 0 1 1.407 0.000133373750607511 9.42276728683494e-6 6.37187582238389
1 0 0 1 1.407 0 0.000235146601047418 6.37187582238389
1 1 0 1 1.407 0.000133373750607511 -9.42276728683494e-6 6.37187582238389
1 0 1 0 1.407 3.63484371588556e-5 0 6.37187582238389
1 -1 1 2 1.407 -4.16135968187046e-6 4.06971251431623e-5 6.37187582238389
1 0 1 2 1.407 -6.74989311503206e-5 0 6.37187582238389
1 1 1 2 1.407 4.16135968187046e-6 4.06971251431623e-5 6.37187582238389
1 -1 1 0 1.407 0 -1.82044832169833e-5 6.37187582238389
1 1 1 0 1.407 0 -1.82044832169833e-5 6.37187582238389
1 -1 0 1 0.388 0.00539190399172267 0.000380934451610885 1.75713419977608
1 0 0 1 0.388 0 0.00950627759249795 1.75713419977608
1 1 0 1 0.388 0.00539190399172267 -0.000380934451610885 1.75713419977608
1 0 1 0 0.388 0.00189118181035871 0 1.75713419977608
1 -1 1 2 0.388 -0.000168231393189955 0.00201702591984697 1.75713419977608
1 0 1 2 0.388 -0.00230705837682703 0 1.75713419977608
1 1 1 2 0.388 0.000168231393189955 0.00201702591984697 1.75713419977608
1 -1 1 0 0.388 0 -0.000364190892226908 1.75713419977608
1 1 1 0 0.388 0 -0.000364190892226908 1.75713419977608
1 -1 0 1 1.057 0.000696024827414674 4.91736938094217e-5 4.78683208547247
1 0 0 1 1.057 -1.040e-20 0.00122713706157079 4.78683208547247
1 1 0 1 1.057 0.000696024827414674 -4.91736938094217e-5 4.78683208547247
1 -1 1 0 1.057 -7.26107914920777e-6 -0.000240018481856704 4.78683208547247
1 0 1 0 1.057 0.000323222305538819 0 4.78683208547247
1 1 1 0 1.057 7.26107914920777e-6 -0.000240018481856704 4.78683208547247
1 -1 1 2 1.057 -5.06940581453185e-5 0.000374749890579067 4.78683208547247
1 0 1 2 1.057 -0.000760654338487894 0 4.78683208547247
1 1 1 2 1.057 5.06940581453185e-5 0.000374749890579067 4.78683208547247
1 -1 2 1 1.057 6.35993569339907e-5 -1.92401835460374e-6 4.78683208547247
1 0 2 1 1.057 0 8.56464494732682e-5 4.78683208547247
1 1 2 1 1.057 6.35993569339907e-5 1.92401835460374e-6 4.78683208547247
1 -1 2 3 1.057 -7.21501655188053e-5 -1.15146323513255e-5 4.78683208547247
1 0 2 3 1.057 0 -0.000153688791930579 4.78683208547247
1 1 2 3 1.057 -7.21501655188053e-5 1.15146323513255e-5 4.78683208547247
1 -1 0 1 0.02526 0.00127306671109545 8.99413213216875e-5 0.114394870841092
1 0 0 1 0.02526 0 0.00224449945103255 0.114394870841092
1 1 0 1 0.02526 0.00127306671109545 -8.99413213216875e-5 0.114394870841092
1 -1 0 1 0.102 -0.00304860091897492 -0.000215381639033806 0.461927031899898
1 0 0 1 0.102 0 -0.00537488179481860 0.461927031899898
1 1 0 1 0.102 -0.00304860091897492 0.000215381639033806 0.461927031899898
1 0 1 0 0.102 -0.000457728935963978 0 0.461927031899898
1 -1 1 2 0.102 9.51186038673266e-5 -0.000601330606019825 0.461927031899898
1 0 1 2 0.102 0.00191597039406485 0 0.461927031899898
1 1 1 2 0.102 -9.51186038673266e-5 -0.000601330606019825 0.461927031899898
1 -1 1 0 0.102 0 0.000745017506392991 0.461927031899898
1 1 1 0 0.102 0 0.000745017506392991 0.461927031899898
1 -1 0 1 0.247 0.000408685635670645 2.88733699161627e-5 1.11858800862034
