r l m Re(R) Im(R)
0.30000000000000004 4 -4 0.0207577726456026 -0.0174124666208228
0.30000000000000004 4 -2 -0.0178799109816486 -0.00360736006219812
0.30000000000000004 4 0 0.0554097414629123 0
0.30000000000000004 4 2 -0.0178799109816486 0.00360736006219811
0.30000000000000004 4 4 0.0207577726456026 0.0174124666208228
0.30000000000000004 5 -5 0.0900301780488663 -0.0436506807847138
0.30000000000000004 5 -3 0.0414473922196542 -0.0235141695007319
0.30000000000000004 5 -1 0.0127394409631036 -0.0165558868226305
0.30000000000000004 5 1 -0.0127394409631035 -0.0165558868226305
0.30000000000000004 5 3 -0.0414473922196542 -0.0235141695007319
0.30000000000000004 5 5 -0.0900301780488663 -0.0436506807847138
0.30000000000000004 6 -6 0.0937866817588282 -0.0220325694530565
0.30000000000000004 6 -4 0.0498060510719652 -0.00743929101192920
0.30000000000000004 6 -2 0.0260362176538467 -0.00171714075846522
0.30000000000000004 6 0 0.130737579794806 0
0.30000000000000004 6 2 0.0260362176538467 0.00171714075846520
0.30000000000000004 6 4 0.0498060510719653 0.00743929101192917
0.30000000000000004 6 6 0.0937866817588282 0.0220325694530565
0.30000000000000004 7 -7 0.0808405780087974 -0.0217242417398060
0.30000000000000004 7 -5 0.0442854003233746 -0.00738174141373241
0.30000000000000004 7 -3 0.0248121170196517 -0.00118565556055318
0.30000000000000004 7 -1 0.00759949957198375 0.00265927352249293
0.30000000000000004 7 1 -0.00759949957198379 0.00265927352249287
0.30000000000000004 7 3 -0.0248121170196517 -0.00118565556055317
0.30000000000000004 7 5 -0.0442854003233745 -0.00738174141373241
0.30000000000000004 7 7 -0.0808405780087975 -0.0217242417398059
0.30000000000000004 8 -8 0.0755942802616189 -0.0272305449665740
0.30000000000000004 8 -6 0.0434466822536564 -0.0116603247062430
0.30000000000000004 8 -4 0.0268394305720040 -0.00481866351870634
0.30000000000000004 8 -2 0.0126627386552459 -0.00117106171052804
0.30000000000000004 8 0 0.135435819912627 0
0.30000000000000004 8 2 0.0126627386552459 0.00117106171052806
0.30000000000000004 8 4 0.0268394305720040 0.00481866351870633
0.30000000000000004 8 6 0.0434466822536564 0.0116603247062430
0.30000000000000004 8 8 0.0755942802616189 0.0272305449665740
0.30000000000000004 9 -9 0.0726467194592410 -0.0296788935106177
0.30000000000000004 9 -7 0.0436602906140692 -0.0137881518425951
0.30000000000000004 9 -5 0.0292162855731499 -0.00665745713827382
0.30000000000000004 9 -3 0.0171333748979518 -0.00249418755050675
0.30000000000000004 9 -1 0.00497135955949963 0.000923086878843543
0.30000000000000004 9 1 -0.00497135955949966 0.000923086878843571
0.30000000000000004 9 3 -0.0171333748979518 -0.00249418755050675
0.30000000000000004 9 5 -0.0292162855731499 -0.00665745713827384
0.30000000000000004 9 7 -0.0436602906140691 -0.0137881518425951
0.30000000000000004 9 9 -0.0726467194592410 -0.0296788935106177
0.30000000000000004 10 -10 0.0687005974164138 -0.0310364173215133
0.30000000000000004 10 -8 0.0427156450617354 -0.0151667467638723
0.30000000000000004 10 -6 0.0301512346315850 -0.00792636508933066
0.30000000000000004 10 -4 0.0197398720471288 -0.00342988928998744
0.30000000000000004 10 -2 0.00966796330857028 -0.000835314088766602
0.30000000000000004 10 0 0.141911003603993 0
0.30000000000000004 10 2 0.00966796330857029 0.000835314088766609
0.30000000000000004 10 4 0.0197398720471288 0.00342988928998745
0.30000000000000004 10 6 0.0301512346315850 0.00792636508933068
0.30000000000000004 10 8 0.0427156450617354 0.0151667467638723
0.30000000000000004 10 10 0.0687005974164138 0.0310364173215133
0.30000000000000004 11 -11 0.0645048749927187 -0.0325200867583157
0.30000000000000004 11 -9 0.0412644981841507 -0.0166648027380554
0.30000000000000004 11 -7 0.0303384854356978 -0.00937442661866554
0.30000000000000004 11 -5 0.0213352555109026 -0.00464854732365756
0.30000000000000004 11 -3 0.0127344296592986 -0.00163995010590173
0.30000000000000004 11 -1 0.00334563301703912 0.00164479220214483
0.30000000000000004 11 1 -0.00334563301703910 0.00164479220214483
0.30000000000000004 11 3 -0.0127344296592986 -0.00163995010590173
0.30000000000000004 11 5 -0.0213352555109026 -0.00464854732365759
0.30000000000000004 11 7 -0.0303384854356978 -0.00937442661866554
0.30000000000000004 11 9 -0.0412644981841507 -0.0166648027380554
0.30000000000000004 11 11 -0.0645048749927187 -0.0325200867583157
0.30000000000000004 12 -12 0.0604911585763223 -0.0338242315980982
0.30000000000000004 12 -10 0.0396908102589200 -0.0180590541841493
0.30000000000000004 12 -8 0.0301904538577882 -0.0107892254671400
0.30000000000000004 12 -6 0.0223983314899236 -0.00592520516627680
0.30000000000000004 12 -4 0.0149463457437201 -0.00261510605874652
0.30000000000000004 12 -2 0.00720471085564700 -0.000630211400133737
0.30000000000000004 12 0 0.142735321217212 0
0.30000000000000004 12 2 0.00720471085564693 0.000630211400133737
0.30000000000000004 12 4 0.0149463457437201 0.00261510605874654
0.30000000000000004 12 6 0.0223983314899236 0.00592520516627683
0.30000000000000004 12 8 0.0301904538577882 0.0107892254671400
0.30000000000000004 12 10 0.0396908102589200 0.0180590541841493
0.30000000000000004 12 12 0.0604911585763223 0.0338242315980982
0.4 0 0 -9.84039205512086 0
0.4 1 -1 0.0859705643317034 -3.58129651610721
0.4 1 1 -0.0859705643317034 -3.58129651610721
0.4 2 -2 1.46242369431147 0.00422210917835514
0.4 2 0 1.23737216157792 0
0.4 2 2 1.46242369431147 -0.00422210917835513
0.4 3 -3 0.0817763114097438 0.562413831423916
0.4 3 -1 0.0214550380540391 0.430258446130065
0.4 3 1 -0.0214550380540392 0.430258446130065
0.4 3 3 -0.0817763114097438 0.562413831423916
0.4 4 -4 -0.155370592655720 -0.0189131387878966
0.4 4 -2 -0.145984990489341 -0.00439229280182443
0.4 4 0 -0.0742601657365157 0
0.4 4 2 -0.145984990489341 0.00439229280182439
0.4 4 4 -0.155370592655720 0.0189131387878965
0.4 5 -5 0.0848208973132791 -0.124532852842032
0.4 5 -3 0.0387288512883303 -0.0847215929995159
0.4 5 -1 0.0119263215831137 -0.0731083451871567
0.4 5 1 -0.0119263215831137 -0.0731083451871566
0.4 5 3 -0.0387288512883303 -0.0847215929995160
0.4 5 5 -0.0848208973132792 -0.124532852842032
0.4 6 -6 0.127765321587662 -0.0191964034671090
0.4 6 -4 0.0758951059331496 -0.00627998512058655
0.4 6 -2 0.0512777430037587 -0.00133626526715685
0.4 6 0 0.147061607814906 0
0.4 6 2 0.0512777430037586 0.00133626526715683
0.4 6 4 0.0758951059331496 0.00627998512058653
0.4 6 6 0.127765321587662 0.0191964034671091
0.4 7 -7 0.0742231056216665 -0.000531159776031475
0.4 7 -5 0.0403989866366130 0.00738719593082969
0.4 7 -3 0.0225996212547704 0.0117013867505377
0.4 7 -1 0.00692483806051249 0.0149429001994116
0.4 7 1 -0.00692483806051249 0.0149429001994120
0.4 7 3 -0.0225996212547704 0.0117013867505377
0.4 7 5 -0.0403989866366130 0.00738719593082970
0.4 7 7 -0.0742231056216665 -0.000531159776031461
